area,bedrooms,city,furnishing,locality_tier,price_lakhs
695,4,Delhi,Unfurnished,1,90.16
2578,4,Mumbai,Semi-Furnished,2,313.13
2250,4,Delhi,Semi-Furnished,3,157.12
1656,1,Chennai,Unfurnished,2,98.89
1640,5,Pune,Unfurnished,2,122.77
2811,3,Delhi,Unfurnished,3,195.37
686,2,Pune,Unfurnished,2,44.44
2367,3,Chennai,Semi-Furnished,3,110.7
1004,5,Bangalore,Unfurnished,2,78.43
708,5,Delhi,Furnished,1,88.56
1897,5,Pune,Unfurnished,2,132.18
3132,3,Chennai,Semi-Furnished,1,249.52
2473,4,Mumbai,Furnished,3,260.2
2543,2,Delhi,Semi-Furnished,2,189.75
2423,4,Hyderabad,Furnished,2,147.29
2611,4,Hyderabad,Unfurnished,2,148.31
1861,2,Pune,Unfurnished,2,133.58
802,2,Chennai,Unfurnished,1,57.62
2759,1,Chennai,Unfurnished,1,192.02
1688,1,Mumbai,Unfurnished,2,227.15
1825,3,Pune,Unfurnished,1,151.35
1469,3,Pune,Furnished,3,93.05
952,1,Delhi,Unfurnished,1,101.77
2998,3,Pune,Furnished,3,166.64
2599,4,Mumbai,Furnished,2,350.5
2220,2,Delhi,Furnished,2,188.42
1556,2,Hyderabad,Unfurnished,1,113.84
2712,2,Delhi,Furnished,2,218.75
1949,3,Hyderabad,Semi-Furnished,3,97.46
1669,2,Bangalore,Furnished,1,159.56
1688,4,Chennai,Semi-Furnished,1,131.13
1074,2,Chennai,Furnished,2,76.04
703,3,Delhi,Semi-Furnished,1,83.32
1975,2,Chennai,Unfurnished,1,135.91
2891,1,Pune,Semi-Furnished,2,177.12
625,4,Mumbai,Unfurnished,2,83.1
2810,2,Hyderabad,Furnished,2,165.26
2725,2,Hyderabad,Unfurnished,3,112.05
1211,4,Bangalore,Unfurnished,3,83.29
2187,5,Hyderabad,Semi-Furnished,1,152.05
904,4,Pune,Semi-Furnished,2,69.79
2534,5,Chennai,Unfurnished,1,187.58
2376,5,Delhi,Furnished,1,291.51
1424,3,Mumbai,Furnished,1,237.72
636,4,Delhi,Furnished,2,74.2
3119,2,Delhi,Semi-Furnished,3,222.06
1675,3,Delhi,Semi-Furnished,3,108.65
2906,3,Mumbai,Semi-Furnished,2,362.28
2314,5,Bangalore,Semi-Furnished,3,165.05
2590,5,Delhi,Unfurnished,1,285.22
2539,3,Bangalore,Unfurnished,3,149.23
985,4,Mumbai,Unfurnished,3,112.13
1450,2,Hyderabad,Semi-Furnished,1,110.91
1733,5,Chennai,Unfurnished,2,100.82
1818,3,Pune,Unfurnished,3,87.9
570,3,Hyderabad,Furnished,2,49.76
1953,4,Bangalore,Semi-Furnished,3,118.91
874,4,Pune,Semi-Furnished,3,64.67
2494,1,Pune,Semi-Furnished,2,154.17
2328,2,Chennai,Furnished,1,158.19
2986,1,Bangalore,Furnished,2,199.15
2498,4,Delhi,Unfurnished,1,225.49
1458,1,Mumbai,Furnished,2,184.83
3110,2,Chennai,Semi-Furnished,2,183.07
1579,3,Bangalore,Furnished,2,123.64
1346,4,Hyderabad,Semi-Furnished,1,112.32
2940,3,Hyderabad,,1,216.1
1468,5,Mumbai,Furnished,3,165.72
659,5,Delhi,Unfurnished,1,74.15
1741,1,Hyderabad,Furnished,1,130.32
2638,5,Mumbai,Unfurnished,3,279.77
971,4,Hyderabad,Unfurnished,1,78.55
1723,4,Delhi,Semi-Furnished,2,168.67
807,1,Chennai,Furnished,1,64.17
2337,4,Chennai,Semi-Furnished,1,203.48
1758,4,Chennai,Unfurnished,2,105.97
1358,3,Pune,Unfurnished,2,96.11
1074,1,Chennai,Furnished,1,78.8
2002,3,Hyderabad,Furnished,1,141.28
2291,5,Delhi,Unfurnished,1,275.28
3035,4,Chennai,Semi-Furnished,2,185.02
1652,1,Chennai,Unfurnished,3,81.42
891,5,Mumbai,Unfurnished,1,153.3
2739,5,Chennai,Furnished,1,216.86
2181,1,Mumbai,Semi-Furnished,2,291.25
2375,5,Hyderabad,Unfurnished,2,139.0
717,3,Delhi,Semi-Furnished,1,78.59
1309,3,Bangalore,Semi-Furnished,1,119.7
2561,3,Hyderabad,Unfurnished,2,148.42
2738,4,Pune,Semi-Furnished,2,186.61
1646,5,Bangalore,Unfurnished,2,117.26
2663,4,Delhi,Unfurnished,1,274.49
2764,5,Mumbai,Furnished,3,281.66
1515,5,Hyderabad,Furnished,2,102.97
2919,1,Delhi,Unfurnished,2,222.81
1242,2,Pune,Furnished,1,105.03
1108,4,Bangalore,,3,74.85
2326,3,Chennai,Furnished,3,129.43
2201,1,Pune,Furnished,1,186.2
834,1,Hyderabad,Semi-Furnished,3,41.83
2740,3,Chennai,Semi-Furnished,3,134.02
999,4,Mumbai,Semi-Furnished,1,169.26
2663,1,Chennai,Furnished,3,125.34
470,1,Delhi,Unfurnished,1,48.12
2641,1,Pune,Unfurnished,1,190.2
2614,3,Chennai,Unfurnished,1,186.11
2596,1,Bangalore,,2,167.46
2278,3,Bangalore,Unfurnished,2,167.01
1746,3,Mumbai,Unfurnished,2,229.65
2389,3,Delhi,Furnished,1,239.2
1212,4,Pune,Unfurnished,1,105.06
2597,3,Mumbai,Furnished,3,265.26
1978,4,Chennai,Unfurnished,3,104.72
1712,4,Delhi,Furnished,3,135.2
1840,5,Delhi,Unfurnished,1,188.12
2014,4,Bangalore,Semi-Furnished,3,117.9
552,3,Chennai,Unfurnished,3,35.29
834,3,Pune,Semi-Furnished,2,68.52
1125,2,Mumbai,Semi-Furnished,1,155.87
764,3,Mumbai,Semi-Furnished,3,89.67
1658,1,Hyderabad,Semi-Furnished,2,100.41
2288,5,Bangalore,Semi-Furnished,1,214.0
2249,5,Pune,Furnished,1,201.62
1745,1,Delhi,Semi-Furnished,2,144.24
2801,4,Delhi,Semi-Furnished,1,302.92
2004,1,Bangalore,Unfurnished,1,156.93
667,4,Chennai,Semi-Furnished,2,47.57
2553,1,Hyderabad,Unfurnished,3,115.91
2030,3,Chennai,Unfurnished,1,143.58
2195,4,Mumbai,Furnished,2,278.57
2004,4,Mumbai,Unfurnished,3,189.22
1972,3,Chennai,Semi-Furnished,3,94.15
699,5,Mumbai,Furnished,3,92.63
1987,4,Chennai,Furnished,1,154.99
2636,2,Pune,Unfurnished,3,136.56
1285,4,Delhi,Unfurnished,3,100.96
2107,4,Pune,Semi-Furnished,1,179.41
534,2,Bangalore,Semi-Furnished,2,47.99
1405,4,Chennai,Furnished,2,111.31
1650,5,Mumbai,Unfurnished,2,201.7
3152,5,Pune,Unfurnished,1,253.06
1040,4,Hyderabad,Unfurnished,3,61.16
1210,4,Hyderabad,Furnished,3,78.9
1573,2,Pune,Unfurnished,2,92.73
3179,4,Bangalore,Semi-Furnished,3,187.36
2796,2,Delhi,Unfurnished,2,255.53
545,3,Delhi,Unfurnished,3,47.66
1093,2,Chennai,Furnished,2,78.11
2709,2,Chennai,Unfurnished,2,156.63
610,1,Pune,Unfurnished,1,48.12
2803,5,Hyderabad,Furnished,2,175.23
1223,1,Mumbai,Semi-Furnished,1,188.06
2973,1,Mumbai,Unfurnished,1,448.3
1257,5,Delhi,Semi-Furnished,1,151.05
1644,3,Bangalore,Furnished,3,104.5
2270,3,Mumbai,Semi-Furnished,1,366.33
797,4,Mumbai,Semi-Furnished,3,111.04
1981,2,Hyderabad,Semi-Furnished,3,83.45
1838,1,Hyderabad,Semi-Furnished,1,129.44
2605,4,Mumbai,Unfurnished,2,311.7
3189,1,Hyderabad,Furnished,2,184.51
2276,3,Hyderabad,Furnished,2,138.24
1575,5,Mumbai,Unfurnished,3,176.41
1567,5,Bangalore,Furnished,2,142.44
1599,2,Pune,Furnished,2,113.23
2688,4,Hyderabad,Furnished,2,173.83
1333,4,Bangalore,Semi-Furnished,3,77.78
909,3,Mumbai,Semi-Furnished,2,135.37
1369,1,Delhi,Furnished,2,127.57
512,2,Pune,Unfurnished,3,33.62
741,4,Delhi,Furnished,3,66.37
697,5,Mumbai,Furnished,3,88.76
2571,1,Mumbai,Furnished,3,261.59
2436,4,Mumbai,Semi-Furnished,2,310.0
2366,5,Delhi,Semi-Furnished,3,179.71
1720,5,Delhi,Unfurnished,1,206.41
2421,3,Delhi,Furnished,1,239.3
893,1,Chennai,Semi-Furnished,2,60.87
2926,2,Pune,Unfurnished,3,147.52
1827,5,Pune,Furnished,2,134.46
3029,5,Delhi,Semi-Furnished,2,246.06
868,4,Bangalore,Semi-Furnished,2,79.35
1817,1,Mumbai,Unfurnished,1,236.07
2364,1,Delhi,Furnished,2,214.38
1812,3,Mumbai,Semi-Furnished,2,211.18
1676,3,Bangalore,Furnished,2,133.9
907,1,Pune,Furnished,2,66.44
1497,4,Bangalore,Unfurnished,1,151.16
1106,3,Delhi,Unfurnished,3,82.16
1279,1,Delhi,Furnished,2,112.49
2330,1,Bangalore,Semi-Furnished,1,199.3
2183,3,Pune,Semi-Furnished,2,156.59
2119,4,Delhi,Unfurnished,2,193.8
1444,5,Chennai,Semi-Furnished,1,119.74
3089,3,Bangalore,Furnished,1,278.06
691,2,Pune,Unfurnished,1,53.29
1392,5,Pune,Semi-Furnished,2,107.47
774,3,Pune,Furnished,3,50.67
1382,2,Hyderabad,Unfurnished,3,67.4
3095,3,Bangalore,Unfurnished,2,222.67
1457,1,Delhi,Furnished,3,123.56
2948,2,Bangalore,,1,240.58
1811,3,Bangalore,Semi-Furnished,3,112.32
2374,5,Bangalore,Semi-Furnished,2,202.67
1707,4,Bangalore,Furnished,3,124.14
1181,4,Hyderabad,Unfurnished,3,60.49
2551,3,Mumbai,Semi-Furnished,2,324.93
3115,1,Delhi,Unfurnished,1,322.83
1174,2,Hyderabad,,2,78.35
2591,5,Bangalore,Semi-Furnished,3,155.64
1168,1,Hyderabad,Semi-Furnished,3,55.79
